program	transformation	lhs	rhs	text
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x, Concat(ConstStr("" (""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("" Korper and Ellis E-Commerce Books ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Words/dots/hyphensâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦ALL CAPS"", ""Îµ""), 2))), ConstStr(""eries)""))))))"	The Internet Security Guidebook: From Planning to Deployment->The Internet Security Guidebook: From Planning to Deployment (The Korper and Ellis E-Commerce Books Series)	The Internet Security Guidebook: From Planning to Deployment	The Internet Security Guidebook: From Planning to Deployment (The Korper and Ellis E-Commerce Books Series)	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x, Concat(ConstStr("" (""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("" Korper and Ellis E-Commerce Books ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Words/dots/hyphensâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦ALL CAPS"", ""Îµ""), 2))), ConstStr(""eries)""))))))] [Transformation: The Internet Security Guidebook: From Planning to Deployment transforms to The Internet Security Guidebook: From Planning to Deployment (The Korper and Ellis E-Commerce Books Series)]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Left Parenthesis""), 1)))"	The Internet Security Guidebook: From Planning to Deployment (The Korper and Ellis E-Commerce Books Series)->The Internet Security Guidebook: From Planning to Deployment	The Internet Security Guidebook: From Planning to Deployment (The Korper and Ellis E-Commerce Books Series)	The Internet Security Guidebook: From Planning to Deployment	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Left Parenthesis""), 1)))] [Transformation: The Internet Security Guidebook: From Planning to Deployment (The Korper and Ellis E-Commerce Books Series) transforms to The Internet Security Guidebook: From Planning to Deployment]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), -1))), ConstStr(""\"""")))))))))"	"""Ellis, Juanita; Speed, Tim""->""Juanita Ellis, Tim Speed"""	"""Ellis, Juanita; Speed, Tim"""	"""Juanita Ellis, Tim Speed"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), -1))), ConstStr(""\"""")))))))))] [Transformation: ""Ellis, Juanita; Speed, Tim"" transforms to ""Juanita Ellis, Tim Speed""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""',' or 'and'"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpace""), -1))), ConstStr(""\"""")))))))))"	"""Juanita Ellis, Tim Speed""->""Ellis, Juanita; Speed, Tim"""	"""Juanita Ellis, Tim Speed"""	"""Ellis, Juanita; Speed, Tim"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""',' or 'and'"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpace""), -1))), ConstStr(""\"""")))))))))] [Transformation: ""Juanita Ellis, Tim Speed"" transforms to ""Ellis, Juanita; Speed, Tim""]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))))"	XQuery: The XML Query Language->XQUERY	XQuery: The XML Query Language	XQUERY	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))))] [Transformation: XQuery: The XML Query Language transforms to XQUERY]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Case""), 1), RegexPositionRelative(x, RegexPair(""Upper Case"", ""Îµ""), 1))), ConstStr(""Query: The XML Query Language""))"	XQUERY->XQuery: The XML Query Language	XQUERY	XQuery: The XML Query Language	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Case""), 1), RegexPositionRelative(x, RegexPair(""Upper Case"", ""Îµ""), 1))), ConstStr(""Query: The XML Query Language""))] [Transformation: XQUERY transforms to XQuery: The XML Query Language]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))"	"Michael Brundage->""Brundage, Michael"""	Michael Brundage	"""Brundage, Michael"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))] [Transformation: Michael Brundage transforms to ""Brundage, Michael""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))"	"""Brundage, Michael""->Michael Brundage"	"""Brundage, Michael"""	Michael Brundage	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))] [Transformation: ""Brundage, Michael"" transforms to Michael Brundage]"
"Concat(ConstStr(""T""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RelativePosition(x, 6), RelativePosition(x, 8))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x))))"	XML Schema Companion->The Xml Schema Companion	XML Schema Companion	The Xml Schema Companion	"[Program: Concat(ConstStr(""T""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RelativePosition(x, 6), RelativePosition(x, 8))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x))))] [Transformation: XML Schema Companion transforms to The Xml Schema Companion]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Alphanumeric"", ""Îµ""), 1)))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumericâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))"	The Xml Schema Companion->XML Schema Companion	The Xml Schema Companion	XML Schema Companion	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Alphanumeric"", ""Îµ""), 1)))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumericâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))] [Transformation: The Xml Schema Companion transforms to XML Schema Companion]"
"Concat(ConstStr(""Neil ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x)"	Bradley->Neil Bradley	Bradley	Neil Bradley	"[Program: Concat(ConstStr(""Neil ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x)] [Transformation: Bradley transforms to Neil Bradley]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1)))"	Neil Bradley->Bradley	Neil Bradley	Bradley	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1)))] [Transformation: Neil Bradley transforms to Bradley]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Dot""), 1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Dot"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1))))"	Teach Yourself Microsoft Visual Basic .Net 2003 in 21 Days->Teach Yourself Microsoft Visual BasicNet 2003 in 21 Days	Teach Yourself Microsoft Visual Basic .Net 2003 in 21 Days	Teach Yourself Microsoft Visual BasicNet 2003 in 21 Days	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Dot""), 1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Dot"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1))))] [Transformation: Teach Yourself Microsoft Visual Basic .Net 2003 in 21 Days transforms to Teach Yourself Microsoft Visual BasicNet 2003 in 21 Days]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Camel Caseâ—¦WhiteSpace""), -1))), Concat(ConstStr("" .""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Camel Caseâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))"	Teach Yourself Microsoft Visual BasicNet 2003 in 21 Days->Teach Yourself Microsoft Visual Basic .Net 2003 in 21 Days	Teach Yourself Microsoft Visual BasicNet 2003 in 21 Days	Teach Yourself Microsoft Visual Basic .Net 2003 in 21 Days	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Camel Caseâ—¦WhiteSpace""), -1))), Concat(ConstStr("" .""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Camel Caseâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1)))))] [Transformation: Teach Yourself Microsoft Visual BasicNet 2003 in 21 Days transforms to Teach Yourself Microsoft Visual Basic .Net 2003 in 21 Days]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))"	"""Holzner, Steve""->Steve Holzner"	"""Holzner, Steve"""	Steve Holzner	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))] [Transformation: ""Holzner, Steve"" transforms to Steve Holzner]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))"	"Steve Holzner->""Holzner, Steve"""	Steve Holzner	"""Holzner, Steve"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))] [Transformation: Steve Holzner transforms to ""Holzner, Steve""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1)))), ConstStr(""\"""")))"	"""Java, Java, Java: Object-Oriented Problem Solving, by Morelli, 3rd Edition""->""JAVA, JAVA, JAVA"""	"""Java, Java, Java: Object-Oriented Problem Solving, by Morelli, 3rd Edition"""	"""JAVA, JAVA, JAVA"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1)))), ConstStr(""\"""")))] [Transformation: ""Java, Java, Java: Object-Oriented Problem Solving, by Morelli, 3rd Edition"" transforms to ""JAVA, JAVA, JAVA""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1)))), ConstStr("": Object-Oriented Problem Solving, by Morelli, 3rd Edition\"""")))"	"""JAVA, JAVA, JAVA""->""Java, Java, Java: Object-Oriented Problem Solving, by Morelli, 3rd Edition"""	"""JAVA, JAVA, JAVA"""	"""Java, Java, Java: Object-Oriented Problem Solving, by Morelli, 3rd Edition"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1)))), ConstStr("": Object-Oriented Problem Solving, by Morelli, 3rd Edition\"""")))] [Transformation: ""JAVA, JAVA, JAVA"" transforms to ""Java, Java, Java: Object-Oriented Problem Solving, by Morelli, 3rd Edition""]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))))"	"""Morelli, Ralph/ Walde, Ralph""->MORELLI"	"""Morelli, Ralph/ Walde, Ralph"""	MORELLI	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))))] [Transformation: ""Morelli, Ralph/ Walde, Ralph"" transforms to MORELLI]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Caseâ—¦Upper Case"", ""Îµ""), 1))), Concat(ConstStr(""alph/ Walde, ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Caseâ—¦Upper Case"", ""Îµ""), 1))), ConstStr(""alph\"""")))))))"	"MORELLI->""Morelli, Ralph/ Walde, Ralph"""	MORELLI	"""Morelli, Ralph/ Walde, Ralph"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(x), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Caseâ—¦Upper Case"", ""Îµ""), 1))), Concat(ConstStr(""alph/ Walde, ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Caseâ—¦Upper Case"", ""Îµ""), 1))), ConstStr(""alph\"""")))))))] [Transformation: MORELLI transforms to ""Morelli, Ralph/ Walde, Ralph""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x, ConstStr("" (the Morgan Kaufmann Series In Data Management Systems) (the Morgan Kaufmann Series In Data Management Systems)""))"	Moving Objects Databases->Moving Objects Databases (the Morgan Kaufmann Series In Data Management Systems) (the Morgan Kaufmann Series In Data Management Systems)	Moving Objects Databases	Moving Objects Databases (the Morgan Kaufmann Series In Data Management Systems) (the Morgan Kaufmann Series In Data Management Systems)	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in x, ConstStr("" (the Morgan Kaufmann Series In Data Management Systems) (the Morgan Kaufmann Series In Data Management Systems)""))] [Transformation: Moving Objects Databases transforms to Moving Objects Databases (the Morgan Kaufmann Series In Data Management Systems) (the Morgan Kaufmann Series In Data Management Systems)]"
"let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Left Parenthesis""), 1)))"	Moving Objects Databases (the Morgan Kaufmann Series In Data Management Systems) (the Morgan Kaufmann Series In Data Management Systems)->Moving Objects Databases	Moving Objects Databases (the Morgan Kaufmann Series In Data Management Systems) (the Morgan Kaufmann Series In Data Management Systems)	Moving Objects Databases	"[Program: let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Left Parenthesis""), 1)))] [Transformation: Moving Objects Databases (the Morgan Kaufmann Series In Data Management Systems) (the Morgan Kaufmann Series In Data Management Systems) transforms to Moving Objects Databases]"
